epoch,loss,weight,bias,weight_grad,bias_grad
0.000000000000000000e+00,4.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,-4.000000381469726562e+01,-1.999999761581420898e+00
1.000000000000000000e+00,2.656039810180664062e+01,4.000000357627868652e-01,1.999999769032001495e-02,-3.200000000000000000e+01,-1.960000038146972656e+00
2.000000000000000000e+00,1.730636978149414062e+01,7.200000286102294922e-01,3.959999606013298035e-02,-2.560000228881835938e+01,-1.920800089836120605e+00
3.000000000000000000e+00,1.137160205841064453e+01,9.760000705718994141e-01,5.880799517035484314e-02,-2.047999954223632812e+01,-1.882384061813354492e+00
4.000000000000000000e+00,7.561648368835449219e+00,1.180800080299377441e+00,7.763183861970901489e-02,-1.638399887084960938e+01,-1.844736218452453613e+00
5.000000000000000000e+00,5.112040042877197266e+00,1.344640016555786133e+00,9.607920050621032715e-02,-1.310719966888427734e+01,-1.807841539382934570e+00
6.000000000000000000e+00,3.533495187759399414e+00,1.475712060928344727e+00,1.141576170921325684e-01,-1.048575878143310547e+01,-1.771684646606445312e+00
7.000000000000000000e+00,2.512860536575317383e+00,1.580569624900817871e+00,1.318744570016860962e-01,-8.388607978820800781e+00,-1.736251115798950195e+00
8.000000000000000000e+00,1.849698066711425781e+00,1.664455652236938477e+00,1.492369621992111206e-01,-6.710887908935546875e+00,-1.701526165008544922e+00
9.000000000000000000e+00,1.415711522102355957e+00,1.731564521789550781e+00,1.662522256374359131e-01,-5.368709564208984375e+00,-1.667495727539062500e+00
1.000000000000000000e+01,1.128776788711547852e+00,1.785251617431640625e+00,1.829271763563156128e-01,-4.294967651367187500e+00,-1.634145736694335938e+00
1.100000000000000000e+01,9.363186955451965332e-01,1.828201293945312500e+00,1.992686390876770020e-01,-3.435974121093750000e+00,-1.601462841033935547e+00
1.200000000000000000e+01,8.046751022338867188e-01,1.862560987472534180e+00,2.152832597494125366e-01,-2.748780250549316406e+00,-1.569433450698852539e+00
1.300000000000000000e+01,7.122882008552551270e-01,1.890048742294311523e+00,2.309775948524475098e-01,-2.199024915695190430e+00,-1.538044691085815430e+00
1.400000000000000000e+01,6.453476548194885254e-01,1.912039041519165039e+00,2.463580369949340820e-01,-1.759219408035278320e+00,-1.507284164428710938e+00
1.500000000000000000e+01,5.950021147727966309e-01,1.929631233215332031e+00,2.614308893680572510e-01,-1.407375335693359375e+00,-1.477138400077819824e+00
1.600000000000000000e+01,5.555744171142578125e-01,1.943704962730407715e+00,2.762022614479064941e-01,-1.125900268554687500e+00,-1.447595357894897461e+00
1.700000000000000000e+01,5.234200954437255859e-01,1.954963922500610352e+00,2.906782031059265137e-01,-9.007219076156616211e-01,-1.418643832206726074e+00
1.800000000000000000e+01,4.961937367916107178e-01,1.963971138000488281e+00,3.048646450042724609e-01,-7.205771803855895996e-01,-1.390270471572875977e+00
1.900000000000000000e+01,4.723854959011077881e-01,1.971176862716674805e+00,3.187673389911651611e-01,-5.764624476432800293e-01,-1.362465143203735352e+00
2.000000000000000000e+01,4.510175287723541260e-01,1.976941466331481934e+00,3.323919773101806641e-01,-4.611706137657165527e-01,-1.335216164588928223e+00
2.100000000000000000e+01,4.314535558223724365e-01,1.981553196907043457e+00,3.457441329956054688e-01,-3.689350783824920654e-01,-1.308511734008789062e+00
2.200000000000000000e+01,4.132775962352752686e-01,1.985242605209350586e+00,3.588292598724365234e-01,-2.951478660106658936e-01,-1.282341241836547852e+00
2.300000000000000000e+01,3.962141573429107666e-01,1.988194108009338379e+00,3.716526627540588379e-01,-2.361174672842025757e-01,-1.256694674491882324e+00
2.400000000000000000e+01,3.800776302814483643e-01,1.990555286407470703e+00,3.842196166515350342e-01,-1.888954341411590576e-01,-1.231560945510864258e+00
2.500000000000000000e+01,3.647406995296478271e-01,1.992444276809692383e+00,3.965352177619934082e-01,-1.511148810386657715e-01,-1.206929683685302734e+00
2.600000000000000000e+01,3.501139283180236816e-01,1.993955373764038086e+00,4.086045026779174805e-01,-1.208924055099487305e-01,-1.182790875434875488e+00
2.700000000000000000e+01,3.361324369907379150e-01,1.995164275169372559e+00,4.204324185848236084e-01,-9.671433269977569580e-02,-1.159135341644287109e+00
2.800000000000000000e+01,3.227466046810150146e-01,1.996131420135498047e+00,4.320237636566162109e-01,-7.737062871456146240e-02,-1.135952472686767578e+00
